IDADE;INTERVALO DE IDADE;SEXO;ANO;CÓD.;SIGLA;LOCAL;nMx;nAx;nqx;lx;ndx;nLx;Sx;Tx;ex
0;1;Homens;2070;42;SC;Santa Catarina;0,00536;0,05784;0,00533;100.000;533;99.497;0,99435;8.216.662;82,17
1;4;Homens;2070;42;SC;Santa Catarina;0,0002;1,63692;0,00081;99.467;80;397.676;0,99922;8.117.165;81,61
5;5;Homens;2070;42;SC;Santa Catarina;0,00011;2,33281;0,00055;99.386;55;496.784;0,99953;7.719.489;77,67
10;5;Homens;2070;42;SC;Santa Catarina;0,00009;2,72038;0,00047;99.331;47;496.549;0,99906;7.222.705;72,71
15;5;Homens;2070;42;SC;Santa Catarina;0,00032;2,84248;0,00159;99.284;158;496.080;0,99792;6.726.156;67,75
20;5;Homens;2070;42;SC;Santa Catarina;0,00049;2,60374;0,00245;99.126;243;495.049;0,99742;6.230.075;62,85
25;5;Homens;2070;42;SC;Santa Catarina;0,00053;2,51659;0,00263;98.883;260;493.771;0,99737;5.735.026;58
30;5;Homens;2070;42;SC;Santa Catarina;0,00053;2,54757;0,00267;98.623;263;492.471;0,99707;5.241.255;53,14
35;5;Homens;2070;42;SC;Santa Catarina;0,00067;2,6273;0,00332;98.360;327;491.026;0,99596;4.748.784;48,28
40;5;Homens;2070;42;SC;Santa Catarina;0,00099;2,67445;0,00494;98.034;484;489.041;0,9938;4.257.758;43,43
45;5;Homens;2070;42;SC;Santa Catarina;0,00155;2,69531;0,00774;97.549;755;486.007;0,98998;3.768.717;38,63
50;5;Homens;2070;42;SC;Santa Catarina;0,00257;2,70455;0,01277;96.795;1.236;481.136;0,98339;3.282.710;33,91
55;5;Homens;2070;42;SC;Santa Catarina;0,00425;2,68816;0,02106;95.559;2.012;473.142;0,97367;2.801.574;29,32
60;5;Homens;2070;42;SC;Santa Catarina;0,00661;2,68552;0,03257;93.547;3.046;460.683;0,95774;2.328.431;24,89
65;5;Homens;2070;42;SC;Santa Catarina;0,01107;2,68858;0,05396;90.500;4.884;441.213;0,93082;1.867.748;20,64
70;5;Homens;2070;42;SC;Santa Catarina;0,01826;2,68132;0,08761;85.616;7.501;410.691;0,88555;1.426.536;16,66
75;5;Homens;2070;42;SC;Santa Catarina;0,03173;2,66936;0,14771;78.116;11.538;363.687;0,80659;1.015.845;13
80;5;Homens;2070;42;SC;Santa Catarina;0,05655;2,61642;0,24916;66.577;16.588;293.348;0,68766;652.158;9,8
85;5;Homens;2070;42;SC;Santa Catarina;0,09765;2,55211;0,39407;49.989;19.699;201.724;0,4378;358.810;7,18
90;+;Homens;2070;42;SC;Santa Catarina;0,19282;5,18612;1;30.290;30.290;157.087;-;157.087;5,19
