"IDADE","INTERVALO DE IDADE","SEXO","ANO","CÓD.","SIGLA","LOCAL","nMx","nAx","nqx","lx","ndx","nLx","Sx","Tx","ex"
0,"1","Mulheres",2070,42,"SC","Santa Catarina",0.00483,0.06442,0.00481,1e+05,481,99550,"0.99480000000000002",8630262,86.3
1,"4","Mulheres",2070,42,"SC","Santa Catarina",0.00023,1.51617,0.00092,99519,91,397850,"0.99921000000000004",8530712,85.72
5,"5","Mulheres",2070,42,"SC","Santa Catarina",1e-04,2.28052,0.00048,99428,48,497008,"0.99958000000000002",8132862,81.8
10,"5","Mulheres",2070,42,"SC","Santa Catarina",8e-05,2.58356,0.00042,99380,42,496797,"0.99944999999999995",7635854,76.84
15,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00014,2.68914,0.00072,99338,72,496523,"0.99911000000000005",7139057,71.87
20,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00021,2.60594,0.00105,99266,104,496081,"0.99887000000000004",6642534,66.92
25,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00024,2.58186,0.0012,99162,119,495521,"0.99863000000000002",6146453,61.98
30,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00031,2.61073,0.00156,99043,154,494844,"0.99822",5650933,57.06
35,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00041,2.6509,0.00205,98888,203,493965,"0.99741000000000002",5156088,52.14
40,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00065,2.67377,0.00322,98685,318,492686,"0.99605999999999995",4662124,47.24
45,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00095,2.66548,0.00475,98367,468,490745,"0.99412999999999996",4169437,42.39
50,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00144,2.67928,0.00719,97900,704,487865,"0.99087999999999998",3678693,37.58
55,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00229,2.67875,0.01137,97196,1105,483416,"0.98599000000000003",3190827,32.83
60,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00348,2.70112,0.01726,96091,1659,476643,"0.97680999999999996",2707412,28.18
65,"5","Mulheres",2070,42,"SC","Santa Catarina",0.00621,2.72762,0.03064,94433,2893,465588,"0.95903000000000005",2230769,23.62
70,"5","Mulheres",2070,42,"SC","Santa Catarina",0.01104,2.73144,0.05386,91539,4930,446512,"0.92554000000000003",1765180,19.28
75,"5","Mulheres",2070,42,"SC","Santa Catarina",0.02108,2.72906,0.10057,86609,8710,413265,"0.86053999999999997",1318668,15.23
80,"5","Mulheres",2070,42,"SC","Santa Catarina",0.04093,2.67359,0.18686,77899,14556,355630,"0.75902000000000003",905403,11.62
85,"5","Mulheres",2070,42,"SC","Santa Catarina",0.07302,2.62651,0.31117,63342,19710,269930,"0.50900999999999996",549773,8.68
90,"+","Mulheres",2070,42,"SC","Santa Catarina",0.15592,6.41364,1,43632,43632,279842,"-",279842,6.41
